uic;name;lon;lat
1100148;Hofen (Kr LÖ), Im Steinenberg;7.746016;47.694395
1100149;Hofen (Kr LÖ), Pflug;7.748091;47.692348
1100150;Schlächtenhaus, Schule;7.74234;47.689856
1100151;Schlächtenhaus;7.738247;47.690495
1100152;Hofen (Kr LÖ), Kirche;7.749229;47.689311
1100153;Weitenau (Baden), Vogelpark;7.757387;47.685845
1100154;Weitenau (Baden), Schule;7.765906;47.677767
1100155;Weitenau (Baden), Aussendorf;7.757815;47.671219
1100156;Steinen (Kr LÖ), Kandernerstr.;7.742753;47.647696
1100157;Steinen (Kr LÖ), Schule;7.743261;47.643127
1100158;Steinen (Kr LÖ), Bahnhof;7.741214;47.641835
1100159;Steinen (Kr LÖ), Rathaus;7.740999;47.642548
1100160;Utzenfeld, Königshütte;7.897917;47.820313
1100161;Utzenfeld, Finstergrund;7.896928;47.831082
1100162;Wieden (Schw), Wiedenmatt;7.893185;47.839927
1100163;Wieden (Schw), Hirschen;7.881146;47.841607
1100164;Wieden (Schw), Hüttbach Rütte;7.885315;47.844844
1100165;Wieden (Schw), Ungendwieden;7.891588;47.843987
1100166;Wieden (Schw), Wiedenrütte;7.887484;47.846338
1100167;Wieden (Schw), Wiedener Eck;7.866886;47.844727
1100168;Wieden (Schw), Skilift/Holzpl.;7.868935;47.836533
1100169;Wieden (Schw), Hohtann;7.858989;47.829699
1100170;Aitern, Obermulten;7.854492;47.823028
1100171;Aitern, Multen;7.850853;47.821471
1100172;Aitern, Holzinshaus;7.881472;47.809113
1100173;Aitern, Rössle;7.895886;47.802676
1100174;Aitern, Am Schadenrain;7.899386;47.801387
1100175;Schopfheim, Dreistern;7.816415;47.644751
1100176;Wiechs (LÖ), Post;7.81288;47.635613
1100177;Wiechs (LÖ), An der Halden;7.812264;47.632835
1100178;Herrenschwand, Hochkopfhaus;7.975798;47.76243
1100179;Todtnau, Präg Hinterdorf;7.97278;47.82679
1100180;Wiechs (LÖ), Rebacker;7.815356;47.636826
1100181;Wiechs (LÖ), Am Rain;7.81307;47.632537
1100182;Schopfheim, Ebertschule;7.827913;47.651096
1100183;Todtmoos, Schule;8.003167;47.733548
1100184;Endenburg, Oberdorf;7.73295;47.709998
1100185;Kandern, Platzhof Jugendherb.;7.71274;47.700775
1100186;Kandern, Scheideck;7.705131;47.701796
1100187;Wieslet, Schule;7.797204;47.688699
1100188;Weitenau (Baden), Fahrnbuck;7.772066;47.683826
1100189;Weitenau (Baden), Schillighof;7.779179;47.68508
1100190;Tegernau (Bd), Niedertegernau;7.799233;47.703063
1100191;Tegernau (Baden);7.794292;47.719507
1100192;Steinen (Kr LÖ), Kirchstrasse;7.739199;47.644346
1100193;Steinen (Kr LÖ),Steinenbachbr.;7.738965;47.647421
1100194;Hägelberg, Untere Dorfstrasse;7.728057;47.659043
1100195;Hägelberg, Mittlere Dorfstasse;7.728583;47.662081
1100196;Steinen (Kr LÖ), Hüsingen;7.741471;47.6315
1100197;Höllstein (D), Friedrichstr.;7.748093;47.640431
1100198;Höllstein (D), Neue Strasse;7.753331;47.640191
1100199;Höllstein (D), Schule;7.748177;47.639163
1100201;Schopfheim, Im Grund;7.83314;47.654766
1100202;Fahrnau, Werderstrasse;7.835441;47.657516
1100203;Fahrnau, Ost;7.839532;47.660846
1100204;Fahrnau, Silberbrünnle;7.851487;47.659877
1100205;Kürnberg;7.868148;47.66483
1100206;Sattelhof (Baden), Abzweigung;7.88016;47.667431
1100207;Glashütten (Hasel), Abzweigung;7.893989;47.67614
1100208;Schopfheim, Abzw. Schweigmatt;7.892239;47.687712
1100209;Schopfheim, Auerhahn;7.897906;47.694506
1100210;Schopfheim, Eckhag;7.899561;47.698531
1100211;Gersbach (Baden), Ebnet;7.924451;47.699194
1100213;Todtnau, Präg Rathaus;7.978139;47.828564
1100214;Todtnau, Präg Hirschen;7.974115;47.826783
1100215;Langenau (LÖ), Friedhof;7.798533;47.655772
1100216;Langenau (LÖ), Rathaus;7.799493;47.660389
1100217;Langenau (LÖ), Inselstrasse;7.800877;47.664497
1100218;Schopfheim, Enkenstein;7.808442;47.680354
1100219;Wieslet, Sparkasse;7.799438;47.688911
1100220;Sallneck, Abzweigung;7.788029;47.721472
1100221;Schwand (Tegernau), Abzweigung;7.781083;47.724007
1100222;Wies (Schwarzw), Stauweiher;7.772957;47.728204
1100223;Wies (Schwarzw), Abzw. Demberg;7.769342;47.736164
1100224;Wies (Schwarzw);7.76876;47.747828
1100225;Tegernau (Bd), Besengasse;7.798061;47.726184
1100226;Elbenschwand, Holl;7.810793;47.736889
1100227;Langensee (Kr LÖ), Ort;7.818452;47.742061
1100228;Langensee (Kr LÖ), Ost;7.823259;47.745421
1100229;Elbenschwand, Abzweigung;7.823755;47.749448
1100230;Bürchau, Haus 42;7.827963;47.762286
1100231;Bürchau, Kastel;7.824704;47.767733
1100232;Bürchau, Gemeindezentrum;7.827137;47.77528
1100233;Bürchau, Sägemättle;7.824905;47.781884
1100234;Neuenweg (Kr LÖ);7.827261;47.795424
1100235;Heubronn, Vorderheubronn;7.812436;47.798927
1100236;Heubronn, Mittelheubronn;7.808148;47.801339
1100237;Neuenweg (Kr LÖ), Haldenhof;7.792175;47.803227
1100238;Gündenhausen, Würth Elektronik;7.799969;47.650361
1100239;Schwand (Tegernau), Unterdorf;7.790388;47.73448
1100240;Schwand (Tegernau), Schwand;7.791216;47.736756
1100241;Raich, Oberdorf;7.795268;47.750718
1100242;Oberhäuser (Baden), Abzweigung;7.798723;47.754831
1100244;Hohenegg (Baden), Raich;7.811433;47.748647
1100245;Hohenegg (Baden), Burstel;7.809137;47.744007
1100247;Todtmoos, Prestenberg;8.00597;47.764947
1100248;Todtmoos, Abzw. Rütte;8.008702;47.760247
1100249;Todtmoos, Im Bühl;8.006057;47.756175
1100250;Wyhlen, Rührberg;7.701382;47.569241
1100251;Wyhlen, Himmelspforte;7.692478;47.553024
1100252;Wyhlen, Klosterstrasse;7.69146;47.551222
1100253;Grenzach, Hebelstrasse;7.65962;47.555108
1100254;Grenzach, Im Proli;7.662343;47.55785
1100255;Grenzach, Erlenweg;7.663877;47.5592
1100257;Grenzach, Neufeld;7.671304;47.561752
1100258;Oberlehen (Schw),Abz. Todtmoos;8.04725;47.78821
1100259;Schopfheim, Hebelstr./Vicemoos;7.826691;47.646075
1100260;Ibach (D), Sonnenhalde;8.060479;47.74347
1100261;Ibach (D), Rathaus;8.066872;47.743315
1100262;Bernau (Schw), Hof;8.015673;47.820753
1100263;Bernau (Schw), Dorf Schulhof;8.031324;47.809639
1100264;Bernau (Schw), Rotes Kreuz;8.02013;47.772051
1100265;Bernau (Schw), Loipenzentrum;8.042072;47.782961
1100266;Rheinfelden (D), Realschule;7.786383;47.56453
1100267;Rheinfelden (D), Gymnasium;7.78034;47.560282
1100268;Todtmoos, Auf dem Köpfle;8.008991;47.742205
1100269;Dossenbach, Abzw Wehr;7.856903;47.616156
1100270;Dossenbach, Süd;7.860505;47.613898
1100271;Dossenbach, Niederdossenbach;7.870585;47.603704
1100272;Schwörstadt, Haus Thoma;7.866383;47.591299
1100273;Schwörstadt, Feuerwehrhaus;7.874324;47.592493
1100274;Schwörstadt, Oberdorf;7.881622;47.593967
1100275;Wehr (D), Zelgschule;7.901999;47.636644
